OBJECTID,STATE,NAME,LAT,LON,Date01Start,Date50Start,Date100Start,Dat50End,Date01End,Duration,x,y
201,AR,Portia,36.084865,-91.071044,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,210,-91.071044,36.084865
202,AR,Big Flat,36.003394,-92.41022,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:56,4/8/24 18:28,210,-92.41022,36.003394
203,AR,Biggers,36.331361,-90.800701,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:59,4/8/24 18:30,240,-90.800701,36.331361
204,AR,Pottsville,35.230606,-93.060839,4/9/24 0:13,4/8/24 17:18,4/8/24 17:50,4/8/24 17:54,4/8/24 18:26,240,-93.060839,35.230606
205,AR,Bismarck,34.321836,-93.178139,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:52,4/8/24 18:24,180,-93.178139,34.321836
206,AR,Huntington,35.08171,-94.266319,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:51,4/8/24 18:24,150,-94.266319,35.08171
207,AR,Powhatan,36.087312,-91.123884,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,210,-91.123884,36.087312
208,AR,Poyen,34.324169,-92.641976,4/9/24 0:13,4/8/24 17:17,4/8/24 17:51,4/8/24 17:52,4/8/24 18:25,30,-92.641976,34.324169
209,AR,Black Rock,36.106237,-91.10748,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,240,-91.10748,36.106237
210,AR,Black Springs,34.455977,-93.713115,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,240,-93.713115,34.455977
211,AR,Imboden,36.199696,-91.177386,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,240,-91.177386,36.199696
212,AR,Blevins,33.871251,-93.578187,4/9/24 0:13,4/8/24 17:15,4/8/24 17:48,4/8/24 17:50,4/8/24 18:23,150,-93.578187,33.871251
213,AR,Prescott,33.80432,-93.391207,4/9/24 0:13,4/8/24 17:15,4/8/24 17:48,4/8/24 17:50,4/8/24 18:23,90,-93.391207,33.80432
214,AR,Blue Mountain,35.131796,-93.716666,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:25,210,-93.716666,35.131796
215,AR,Jacksonport,35.642177,-91.307914,4/9/24 0:13,4/8/24 17:22,4/8/24 17:53,4/8/24 17:57,4/8/24 18:29,180,-91.307914,35.642177
216,AR,Jacksonville,34.880512,-92.13059,4/9/24 0:13,4/8/24 17:19,4/8/24 17:51,4/8/24 17:54,4/8/24 18:27,150,-92.13059,34.880512
217,AR,Pyatt,36.250744,-92.846637,4/9/24 0:13,4/8/24 17:20,4/8/24 17:52,4/8/24 17:55,4/8/24 18:27,120,-92.846637,36.250744
218,AR,Jasper,36.012102,-93.1875,4/9/24 0:13,4/8/24 17:19,4/8/24 17:52,4/8/24 17:54,4/8/24 18:26,120,-93.1875,36.012102
219,AR,Quitman,35.381723,-92.214724,4/9/24 0:13,4/8/24 17:20,4/8/24 17:51,4/8/24 17:55,4/8/24 18:27,240,-92.214724,35.381723
220,AR,Board Camp,34.532519,-94.079674,4/9/24 0:13,4/8/24 17:15,4/8/24 17:47,4/8/24 17:51,4/8/24 18:23,240,-94.079674,34.532519
221,AR,Ratcliff,35.306946,-93.888636,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:24,180,-93.888636,35.306946
222,AR,Ravenden Springs,36.312705,-91.223265,4/9/24 0:13,4/8/24 17:23,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,240,-91.223265,36.312705
223,AR,Boles,34.788119,-94.049397,4/9/24 0:13,4/8/24 17:16,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,210,-94.049397,34.788119
224,AR,Rector,36.264158,-90.293518,4/9/24 0:13,4/8/24 17:24,4/8/24 17:56,4/8/24 17:59,4/8/24 18:31,180,-90.293518,36.264158
225,AR,Ravenden,36.243201,-91.251307,4/9/24 0:13,4/8/24 17:22,4/8/24 17:54,4/8/24 17:58,4/8/24 18:30,240,-91.251307,36.243201
226,AR,Jerusalem,35.40757,-92.823013,4/9/24 0:13,4/8/24 17:19,4/8/24 17:50,4/8/24 17:55,4/8/24 18:26,240,-92.823013,35.40757
227,AR,Bonanza,35.231794,-94.416133,4/9/24 0:13,4/8/24 17:16,4/8/24 17:49,4/8/24 17:50,4/8/24 18:23,30,-94.416133,35.231794
228,AR,Reyno,36.360899,-90.758993,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:59,4/8/24 18:30,240,-90.758993,36.360899
229,AR,Jonesboro,35.819755,-90.679033,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:57,4/8/24 18:30,120,-90.679033,35.819755
230,AR,Bono,35.911102,-90.800821,4/9/24 0:13,4/8/24 17:23,4/8/24 17:55,4/8/24 17:58,4/8/24 18:30,180,-90.800821,35.911102
231,AR,Jones Mills,34.444947,-92.901539,4/9/24 0:13,4/8/24 17:17,4/8/24 17:49,4/8/24 17:52,4/8/24 18:25,180,-92.901539,34.444947
232,AR,Booneville,35.139329,-93.9175,4/9/24 0:13,4/8/24 17:17,4/8/24 17:48,4/8/24 17:52,4/8/24 18:24,180,-93.9175,35.139329
233,AR,Judsonia,35.276431,-91.641614,4/9/24 0:13,4/8/24 17:20,4/8/24 17:53,4/8/24 17:56,4/8/24 18:28,150,-91.641614,35.276431
